FID Sex Sample_ID POP_CODE POP_NAME SuperPOP_CODE
HG00096 male SAME123268 GBR British EUR
HG00097 female SAME123267 GBR British EUR
HG00099 female SAME123271 GBR British EUR
HG00100 female SAME125154 GBR British EUR
HG00101 male SAME125153 GBR British EUR
HG00102 female SAME123945 GBR British EUR
HG00103 male SAME125151 GBR British EUR
HG00105 male SAME123949 GBR British EUR
HG00106 female SAME123948 GBR British EUR
HG00107 male SAME123947 GBR British EUR
HG00108 male SAME125161 GBR British EUR
HG00109 male SAME125160 GBR British EUR
HG00110 female SAME125339 GBR British EUR
HG00111 female SAME125340 GBR British EUR
HG00112 male SAME125341 GBR British EUR
HG00113 male SAME125342 GBR British EUR
HG00114 male SAME125343 GBR British EUR
HG00115 male SAME125344 GBR British EUR
HG00116 male SAME125345 GBR British EUR
HG00117 male SAME125346 GBR British EUR
HG00118 female SAME125347 GBR British EUR
HG00119 male SAME125348 GBR British EUR
HG00120 female SAME122874 GBR British EUR
HG00121 female SAME122873 GBR British EUR
HG00122 female SAME122876 GBR British EUR
HG00123 female SAME122875 GBR British EUR
HG00125 female SAME122869 GBR British EUR
HG00126 male SAME122872 GBR British EUR
HG00127 female SAME122871 GBR British EUR
HG00128 female SAME122868 GBR British EUR
HG00129 male SAME122867 GBR British EUR
HG00130 female SAME123063 GBR British EUR
HG00131 male SAME123064 GBR British EUR
HG00132 female SAME123061 GBR British EUR
HG00133 female SAME123062 GBR British EUR
HG00136 male SAME123065 GBR British EUR
HG00137 female SAME123066 GBR British EUR
HG00138 male SAME123059 GBR British EUR
HG00139 male SAME123060 GBR British EUR
HG00140 male SAME124396 GBR British EUR
HG00141 male SAME124395 GBR British EUR
HG00142 male SAME124818 GBR British EUR
HG00143 male SAME124393 GBR British EUR
HG00145 male SAME124391 GBR British EUR
HG00146 female SAME124390 GBR British EUR
HG00148 male SAME124388 GBR British EUR
HG00149 male SAME124387 GBR British EUR
HG00150 female SAME124591 GBR British EUR
HG00151 male SAME124592 GBR British EUR
HG00154 female SAME124587 GBR British EUR
HG00155 male SAME124588 GBR British EUR
HG00157 male SAME124590 GBR British EUR
HG00158 female SAME124585 GBR British EUR
HG00159 male SAME124586 GBR British EUR
HG00160 male SAME124780 GBR British EUR
HG00171 female SAME124961 FIN Finnish EUR
HG00173 female SAME124960 FIN Finnish EUR
HG00174 female SAME124958 FIN Finnish EUR
HG00176 female SAME124956 FIN Finnish EUR
HG00177 female SAME124957 FIN Finnish EUR
HG00178 female SAME124964 FIN Finnish EUR
HG00179 female SAME124965 FIN Finnish EUR
HG00180 female SAME123645 FIN Finnish EUR
HG00181 male SAME123644 FIN Finnish EUR
HG00182 male SAME123643 FIN Finnish EUR
HG00183 male SAME123642 FIN Finnish EUR
HG00185 male SAME123648 FIN Finnish EUR
HG00186 male SAME123647 FIN Finnish EUR
HG00187 male SAME123646 FIN Finnish EUR
HG00188 male SAME123641 FIN Finnish EUR
HG00189 male SAME123640 FIN Finnish EUR
HG00190 male SAME123856 FIN Finnish EUR
HG00231 female SAME124126 GBR British EUR
HG00232 female SAME124128 GBR British EUR
HG00233 female SAME124127 GBR British EUR
HG00234 male SAME124123 GBR British EUR
HG00235 female SAME124122 GBR British EUR
HG00236 female SAME123273 GBR British EUR
HG00237 female SAME124124 GBR British EUR
HG00238 female SAME124131 GBR British EUR
HG00239 female SAME124130 GBR British EUR
HG00240 female SAME123221 GBR British EUR
HG00242 male SAME123223 GBR British EUR
HG00243 male SAME123224 GBR British EUR
HG00244 male SAME123217 GBR British EUR
HG00245 female SAME123218 GBR British EUR
HG00246 male SAME123219 GBR British EUR
HG00250 female SAME123054 GBR British EUR
HG00251 male SAME123053 GBR British EUR
HG00252 male SAME123052 GBR British EUR
HG00253 female SAME123051 GBR British EUR
HG00254 female SAME123050 GBR British EUR
HG00255 female SAME123049 GBR British EUR
HG00256 male SAME123048 GBR British EUR
HG00257 female SAME123047 GBR British EUR
HG00258 female SAME123057 GBR British EUR
HG00259 female SAME123056 GBR British EUR
HG00260 male SAME123582 GBR British EUR
HG00261 female SAME123583 GBR British EUR
HG00262 female SAME123580 GBR British EUR
HG00263 female SAME123581 GBR British EUR
HG00264 male SAME123578 GBR British EUR
HG00265 male SAME123579 GBR British EUR
HG00266 female SAME123576 FIN Finnish EUR
HG00267 male SAME123577 FIN Finnish EUR
HG00268 female SAME123574 FIN Finnish EUR
HG00269 female SAME123575 FIN Finnish EUR
HG00271 male SAME123417 FIN Finnish EUR
HG00272 female SAME123420 FIN Finnish EUR
HG00273 male SAME123419 FIN Finnish EUR
HG00274 female SAME123422 FIN Finnish EUR
HG00275 female SAME123421 FIN Finnish EUR
HG00276 female SAME123424 FIN Finnish EUR
HG00277 male SAME123423 FIN Finnish EUR
HG00278 male SAME123425 FIN Finnish EUR
HG00280 male SAME122831 FIN Finnish EUR
HG00281 female SAME122832 FIN Finnish EUR
HG00282 female SAME122833 FIN Finnish EUR
HG00284 male SAME122835 FIN Finnish EUR
HG00285 female SAME122836 FIN Finnish EUR
HG00288 female SAME1839246 FIN Finnish EUR
HG00290 male SAME1839057 FIN Finnish EUR
HG00304 female SAME1840118 FIN Finnish EUR
HG00306 female SAME124159 FIN Finnish EUR
HG00308 male SAME124161 FIN Finnish EUR
HG00309 female SAME124160 FIN Finnish EUR
HG00310 male SAME124338 FIN Finnish EUR
HG00311 male SAME124339 FIN Finnish EUR
HG00313 female SAME124337 FIN Finnish EUR
HG00315 female SAME124335 FIN Finnish EUR
HG00318 female SAME124333 FIN Finnish EUR
HG00319 female SAME124334 FIN Finnish EUR
HG00320 female SAME123797 FIN Finnish EUR
HG00321 male SAME123796 FIN Finnish EUR
HG00323 female SAME123795 FIN Finnish EUR
HG00324 female SAME123794 FIN Finnish EUR
HG00325 male SAME123793 FIN Finnish EUR
HG00326 female SAME123792 FIN Finnish EUR
HG00327 female SAME123791 FIN Finnish EUR
HG00328 female SAME123799 FIN Finnish EUR
HG00329 male SAME123798 FIN Finnish EUR
HG00330 female SAME123985 FIN Finnish EUR
HG00331 female SAME123986 FIN Finnish EUR
HG00332 female SAME123987 FIN Finnish EUR
HG00334 female SAME123981 FIN Finnish EUR
HG00335 male SAME123982 FIN Finnish EUR
HG00336 male SAME123983 FIN Finnish EUR
HG00337 female SAME123984 FIN Finnish EUR
HG00338 male SAME123990 FIN Finnish EUR
HG00339 female SAME123991 FIN Finnish EUR
HG00341 male SAME124922 FIN Finnish EUR
HG00342 male SAME124924 FIN Finnish EUR
HG00343 female SAME124923 FIN Finnish EUR
HG00344 female SAME125255 FIN Finnish EUR
HG00345 male SAME124919 FIN Finnish EUR
HG00346 female SAME125264 FIN Finnish EUR
HG00349 female SAME124925 FIN Finnish EUR
HG00350 female SAME125121 FIN Finnish EUR
HG00351 male SAME125122 FIN Finnish EUR
HG00353 female SAME125120 FIN Finnish EUR
HG00355 female SAME125125 FIN Finnish EUR
HG00356 female SAME125123 FIN Finnish EUR
HG00357 female SAME125124 FIN Finnish EUR
HG00358 male SAME125126 FIN Finnish EUR
HG00360 male SAME124539 FIN Finnish EUR
HG00361 female SAME124538 FIN Finnish EUR
HG00362 female SAME124537 FIN Finnish EUR
HG00364 female SAME124543 FIN Finnish EUR
HG00365 female SAME124542 FIN Finnish EUR
HG00366 male SAME124541 FIN Finnish EUR
HG00367 female SAME124540 FIN Finnish EUR
HG00368 female SAME124535 FIN Finnish EUR
HG00369 male SAME124534 FIN Finnish EUR
HG00371 male SAME124747 FIN Finnish EUR
HG00372 male SAME124748 FIN Finnish EUR
HG00373 female SAME124749 FIN Finnish EUR
HG00375 male SAME124750 FIN Finnish EUR
HG00376 female SAME124751 FIN Finnish EUR
HG00378 female SAME124745 FIN Finnish EUR
HG00379 female SAME124746 FIN Finnish EUR
HG00380 female SAME123031 FIN Finnish EUR
HG00381 female SAME123030 FIN Finnish EUR
HG00382 male SAME123033 FIN Finnish EUR
HG00383 female SAME123032 FIN Finnish EUR
HG00384 female SAME123034 FIN Finnish EUR
HG00403 male SAME123160 CHS Southern-Han-Chinese EAS
HG00404 female SAME123158 CHS Southern-Han-Chinese EAS
HG00406 male SAME123156 CHS Southern-Han-Chinese EAS
HG00407 female SAME125106 CHS Southern-Han-Chinese EAS
HG00409 male SAME1840026 CHS Southern-Han-Chinese EAS
HG00410 female SAME1839734 CHS Southern-Han-Chinese EAS
HG00419 female SAME122991 CHS Southern-Han-Chinese EAS
HG00421 male SAME122808 CHS Southern-Han-Chinese EAS
HG00422 female SAME122809 CHS Southern-Han-Chinese EAS
HG00428 female SAME122811 CHS Southern-Han-Chinese EAS
HG00436 male SAME125262 CHS Southern-Han-Chinese EAS
HG00437 female SAME125261 CHS Southern-Han-Chinese EAS
HG00442 male SAME124912 CHS Southern-Han-Chinese EAS
HG00443 female SAME124920 CHS Southern-Han-Chinese EAS
HG00445 male SAME124975 CHS Southern-Han-Chinese EAS
HG00446 female SAME123880 CHS Southern-Han-Chinese EAS
HG00448 male SAME124200 CHS Southern-Han-Chinese EAS
HG00449 female SAME123885 CHS Southern-Han-Chinese EAS
HG00451 male SAME125159 CHS Southern-Han-Chinese EAS
HG00452 female SAME123115 CHS Southern-Han-Chinese EAS
HG00457 male SAME123095 CHS Southern-Han-Chinese EAS
HG00458 female SAME125278 CHS Southern-Han-Chinese EAS
HG00463 male SAME123496 CHS Southern-Han-Chinese EAS
HG00464 female SAME123497 CHS Southern-Han-Chinese EAS
HG00472 male SAME123339 CHS Southern-Han-Chinese EAS
HG00473 female SAME123338 CHS Southern-Han-Chinese EAS
HG00475 male SAME123342 CHS Southern-Han-Chinese EAS
HG00476 female SAME123341 CHS Southern-Han-Chinese EAS
HG00478 male SAME123335 CHS Southern-Han-Chinese EAS
HG00479 female SAME123334 CHS Southern-Han-Chinese EAS
HG00500 male SAME123363 CHS Southern-Han-Chinese EAS
HG00513 female SAME123526 CHS Southern-Han-Chinese EAS
HG00524 male SAME123724 CHS Southern-Han-Chinese EAS
HG00525 female SAME123242 CHS Southern-Han-Chinese EAS
HG00530 male SAME124356 CHS Southern-Han-Chinese EAS
HG00531 female SAME125381 CHS Southern-Han-Chinese EAS
HG00533 male SAME124353 CHS Southern-Han-Chinese EAS
HG00534 female SAME123915 CHS Southern-Han-Chinese EAS
HG00536 male SAME124344 CHS Southern-Han-Chinese EAS
HG00537 female SAME124345 CHS Southern-Han-Chinese EAS
HG00542 male SAME124352 CHS Southern-Han-Chinese EAS
HG00543 female SAME122857 CHS Southern-Han-Chinese EAS
HG00551 female SAME124252 PUR Puerto AMR
HG00553 male SAME124254 PUR Puerto AMR
HG00554 female SAME123969 PUR Puerto AMR
HG00556 male SAME123971 CHS Southern-Han-Chinese EAS
HG00557 female SAME124258 CHS Southern-Han-Chinese EAS
HG00559 male SAME124248 CHS Southern-Han-Chinese EAS
HG00560 female SAME124456 CHS Southern-Han-Chinese EAS
HG00565 male SAME124452 CHS Southern-Han-Chinese EAS
HG00566 female SAME125048 CHS Southern-Han-Chinese EAS
HG00580 male SAME124832 CHS Southern-Han-Chinese EAS
HG00581 female SAME124831 CHS Southern-Han-Chinese EAS
HG00583 male SAME124829 CHS Southern-Han-Chinese EAS
HG00584 female SAME124663 CHS Southern-Han-Chinese EAS
HG00589 male SAME124824 CHS Southern-Han-Chinese EAS
HG00590 female SAME125009 CHS Southern-Han-Chinese EAS
HG00592 male SAME125011 CHS Southern-Han-Chinese EAS
HG00593 female SAME125012 CHS Southern-Han-Chinese EAS
HG00595 male SAME125006 CHS Southern-Han-Chinese EAS
HG00596 female SAME125007 CHS Southern-Han-Chinese EAS
HG00598 male SAME1839713 CHS Southern-Han-Chinese EAS
HG00599 female SAME1839802 CHS Southern-Han-Chinese EAS
HG00607 male SAME125373 CHS Southern-Han-Chinese EAS
HG00608 female SAME125369 CHS Southern-Han-Chinese EAS
HG00610 male SAME125199 CHS Southern-Han-Chinese EAS
HG00611 female SAME125198 CHS Southern-Han-Chinese EAS
HG00613 male SAME125196 CHS Southern-Han-Chinese EAS
HG00614 female SAME125195 CHS Southern-Han-Chinese EAS
HG00619 male SAME125193 CHS Southern-Han-Chinese EAS
HG00620 female SAME123081 CHS Southern-Han-Chinese EAS
HG00622 male SAME1839278 CHS Southern-Han-Chinese EAS
HG00623 female SAME1839285 CHS Southern-Han-Chinese EAS
HG00625 male SAME123080 CHS Southern-Han-Chinese EAS
HG00626 female SAME123078 CHS Southern-Han-Chinese EAS
HG00628 male SAME123085 CHS Southern-Han-Chinese EAS
HG00629 female SAME123086 CHS Southern-Han-Chinese EAS
HG00631 male SAME1839060 CHS Southern-Han-Chinese EAS
HG00632 female SAME1839151 CHS Southern-Han-Chinese EAS
HG00634 male SAME122903 CHS Southern-Han-Chinese EAS
HG00637 male SAME123710 PUR Puerto AMR
HG00638 female SAME123652 PUR Puerto AMR
HG00640 male SAME123434 PUR Puerto AMR
HG00641 female SAME123435 PUR Puerto AMR
HG00650 male SAME123254 CHS Southern-Han-Chinese EAS
HG00651 female SAME123966 CHS Southern-Han-Chinese EAS
HG00653 male SAME123251 CHS Southern-Han-Chinese EAS
HG00654 female SAME123234 CHS Southern-Han-Chinese EAS
HG00656 male SAME123233 CHS Southern-Han-Chinese EAS
HG00657 female SAME123255 CHS Southern-Han-Chinese EAS
HG00662 male SAME123812 CHS Southern-Han-Chinese EAS
HG00663 female SAME123813 CHS Southern-Han-Chinese EAS
HG00671 male SAME123604 CHS Southern-Han-Chinese EAS
HG00672 female SAME123606 CHS Southern-Han-Chinese EAS
HG00674 male SAME1840080 CHS Southern-Han-Chinese EAS
HG00675 female SAME1840076 CHS Southern-Han-Chinese EAS
HG00683 male SAME123892 CHS Southern-Han-Chinese EAS
HG00684 female SAME123890 CHS Southern-Han-Chinese EAS
HG00689 male SAME123893 CHS Southern-Han-Chinese EAS
HG00690 female SAME123686 CHS Southern-Han-Chinese EAS
HG00692 male SAME123684 CHS Southern-Han-Chinese EAS
HG00693 female SAME123683 CHS Southern-Han-Chinese EAS
HG00698 male SAME123693 CHS Southern-Han-Chinese EAS
HG00699 female SAME123165 CHS Southern-Han-Chinese EAS
HG00701 male SAME122931 CHS Southern-Han-Chinese EAS
HG00704 male SAME122928 CHS Southern-Han-Chinese EAS
HG00705 female SAME122927 CHS Southern-Han-Chinese EAS
HG00707 male SAME122929 CHS Southern-Han-Chinese EAS
HG00708 female SAME122940 CHS Southern-Han-Chinese EAS
HG00717 female SAME124926 CHS Southern-Han-Chinese EAS
HG00728 male SAME1840267 CHS Southern-Han-Chinese EAS
HG00729 female SAME1840273 CHS Southern-Han-Chinese EAS
HG00731 male SAME125390 PUR Puerto AMR
HG00732 female SAME125396 PUR Puerto AMR
HG00734 female SAME123016 PUR Puerto AMR
HG00736 male SAME123058 PUR Puerto AMR
HG00737 female SAME125416 PUR Puerto AMR
HG00739 male SAME125113 PUR Puerto AMR
HG00740 female SAME124834 PUR Puerto AMR
HG00742 male SAME1840188 PUR Puerto AMR
HG00743 female SAME1840184 PUR Puerto AMR
HG00759 female SAME125020 CDX Dai EAS
HG00766 female SAME124458 CDX Dai EAS
HG00844 male SAME123952 CDX Dai EAS
HG00851 female SAME123756 CDX Dai EAS
HG00864 female SAME123547 CDX Dai EAS
HG00867 female SAME123550 CDX Dai EAS
HG00879 female SAME123399 CDX Dai EAS
HG00881 male SAME123540 CDX Dai EAS
HG00956 female SAME124319 CDX Dai EAS
HG00978 female SAME124727 CDX Dai EAS
HG00982 male SAME123770 CDX Dai EAS
HG01028 male SAME123524 CDX Dai EAS
HG01029 female SAME123523 CDX Dai EAS
HG01031 male SAME123728 CDX Dai EAS
HG01046 female SAME123167 CDX Dai EAS
HG01047 male SAME123166 PUR Puerto AMR
HG01048 male SAME123169 PUR Puerto AMR
